"state","county","year","party","votes"
"AK","Legislative District 01",2012,"dem",1518
"AK","Legislative District 02",2012,"dem",3096
"AK","Legislative District 03",2012,"dem",2034
"AK","Legislative District 04",2012,"dem",2864
"AK","Legislative District 05",2012,"dem",3644
"AK","Legislative District 06",2012,"dem",2145
"AK","Legislative District 07",2012,"dem",1962
"AK","Legislative District 08",2012,"dem",2083
"AK","Legislative District 09",2012,"dem",1667
"AK","Legislative District 10",2012,"dem",1344
"AK","Legislative District 11",2012,"dem",2222
"AK","Legislative District 12",2012,"dem",1901
"AK","Legislative District 13",2012,"dem",2425
"AK","Legislative District 14",2012,"dem",3340
"AK","Legislative District 15",2012,"dem",3283
"AK","Legislative District 16",2012,"dem",4013
"AK","Legislative District 17",2012,"dem",2853
"AK","Legislative District 18",2012,"dem",4247
"AK","Legislative District 19",2012,"dem",4126
"AK","Legislative District 20",2012,"dem",3081
"AK","Legislative District 21",2012,"dem",3316
"AK","Legislative District 22",2012,"dem",2859
"AK","Legislative District 23",2012,"dem",3167
"AK","Legislative District 24",2012,"dem",3128
"AK","Legislative District 25",2012,"dem",3739
"AK","Legislative District 26",2012,"dem",3169
"AK","Legislative District 27",2012,"dem",4463
"AK","Legislative District 28",2012,"dem",2188
"AK","Legislative District 29",2012,"dem",1933
"AK","Legislative District 30",2012,"dem",3578
"AK","Legislative District 31",2012,"dem",4679
"AK","Legislative District 32",2012,"dem",5930
"AK","Legislative District 33",2012,"dem",2716
"AK","Legislative District 34",2012,"dem",4662
"AK","Legislative District 35",2012,"dem",2830
"AK","Legislative District 36",2012,"dem",3341
"AK","Legislative District 37",2012,"dem",2631
"AK","Legislative District 38",2012,"dem",4101
"AK","Legislative District 39",2012,"dem",3645
"AK","Legislative District 40",2012,"dem",2717
"AL","Autauga",2012,"dem",6363
"AL","Baldwin",2012,"dem",18329
"AL","Barbour",2012,"dem",5912
"AL","Bibb",2012,"dem",2202
"AL","Blount",2012,"dem",2970
"AL","Bullock",2012,"dem",4061
"AL","Butler",2012,"dem",4374
"AL","Calhoun",2012,"dem",15500
"AL","Chambers",2012,"dem",6871
"AL","Cherokee",2012,"dem",2132
"AL","Chilton",2012,"dem",3397
"AL","Choctaw",2012,"dem",3786
"AL","Clarke",2012,"dem",6334
"AL","Clay",2012,"dem",1777
"AL","Cleburne",2012,"dem",971
"AL","Coffee",2012,"dem",4925
"AL","Colbert",2012,"dem",9166
"AL","Conecuh",2012,"dem",3555
"AL","Coosa",2012,"dem",2191
"AL","Covington",2012,"dem",3158
"AL","Crenshaw",2012,"dem",2050
"AL","Cullman",2012,"dem",5052
"AL","Dale",2012,"dem",5286
"AL","Dallas",2012,"dem",14612
"AL","DeKalb",2012,"dem",5239
"AL","Elmore",2012,"dem",8954
"AL","Escambia",2012,"dem",5489
"AL","Etowah",2012,"dem",12803
"AL","Fayette",2012,"dem",1817
"AL","Franklin",2012,"dem",3171
"AL","Geneva",2012,"dem",2039
"AL","Greene",2012,"dem",4521
"AL","Hale",2012,"dem",5411
"AL","Henry",2012,"dem",3083
"AL","Houston",2012,"dem",12367
"AL","Jackson",2012,"dem",5822
"AL","Jefferson",2012,"dem",159876
"AL","Lamar",2012,"dem",1646
"AL","Lauderdale",2012,"dem",12511
"AL","Lawrence",2012,"dem",5069
"AL","Lee",2012,"dem",21381
"AL","Limestone",2012,"dem",9829
"AL","Lowndes",2012,"dem",5747
"AL","Macon",2012,"dem",9045
"AL","Madison",2012,"dem",62015
"AL","Marengo",2012,"dem",6167
"AL","Marion",2012,"dem",2249
"AL","Marshall",2012,"dem",6299
"AL","Mobile",2012,"dem",78760
"AL","Monroe",2012,"dem",4914
"AL","Montgomery",2012,"dem",63085
"AL","Morgan",2012,"dem",13439
"AL","Perry",2012,"dem",4568
"AL","Pickens",2012,"dem",4455
"AL","Pike",2012,"dem",6035
"AL","Randolph",2012,"dem",3078
"AL","Russell",2012,"dem",10500
"AL","Shelby",2012,"dem",20051
"AL","St Clair",2012,"dem",5801
"AL","Sumter",2012,"dem",5421
"AL","Talladega",2012,"dem",13905
"AL","Tallapoosa",2012,"dem",6319
"AL","Tuscaloosa",2012,"dem",32048
"AL","Walker",2012,"dem",6557
"AL","Washington",2012,"dem",2976
"AL","Wilcox",2012,"dem",4868
