"state","county","year","party","votes"
"AK","State House District 1, Ketchikan",2008,"dem",2597
"AK","State House District 10, Fairbanks-Fort Wai",2008,"dem",2074
"AK","State House District 11, North Pole",2008,"dem",1924
"AK","State House District 12, Richardson-Glenn H",2008,"dem",1914
"AK","State House District 13, Greater Palmer",2008,"dem",2800
"AK","State House District 14, Greater Wasilla",2008,"dem",2132
"AK","State House District 15, Rural Mat-Su",2008,"dem",2510
"AK","State House District 16, Chugiak-South Mat-",2008,"dem",2636
"AK","State House District 17, Eagle River",2008,"dem",2645
"AK","State House District 18, Military",2008,"dem",2046
"AK","State House District 19, Muldoon",2008,"dem",3095
"AK","State House District 2, Sitka-Wrangell-Pete",2008,"dem",3468
"AK","State House District 20, Mountain View-Wond",2008,"dem",2474
"AK","State House District 21, Baxter Bog",2008,"dem",3647
"AK","State House District 22, University-Airport",2008,"dem",3337
"AK","State House District 23, Downtown-Rogers Pa",2008,"dem",4075
"AK","State House District 24, Midtown-Taku",2008,"dem",3380
"AK","State House District 25, East Spenard",2008,"dem",3233
"AK","State House District 26, Turnagain-Inlet Vi",2008,"dem",4472
"AK","State House District 27, Sand Lake",2008,"dem",3130
"AK","State House District 28, Bayshore-Klatt",2008,"dem",3642
"AK","State House District 29, Campbell-Independe",2008,"dem",2684
"AK","State House District 3, Juneau-Downtown-Dou",2008,"dem",5657
"AK","State House District 30, Lore-Abbott",2008,"dem",3486
"AK","State House District 31, Huffman-Ocean View",2008,"dem",3596
"AK","State House District 32, Chugach State Park",2008,"dem",5176
"AK","State House District 33, Kenai-Soldotna",2008,"dem",2089
"AK","State House District 34, Rural Kenai",2008,"dem",1920
"AK","State House District 35, Homer-Seward",2008,"dem",4254
"AK","State House District 36, Kodiak",2008,"dem",2264
"AK","State House District 37, Bristol Bay-Aleuti",2008,"dem",1868
"AK","State House District 38, Bethel",2008,"dem",2549
"AK","State House District 39, Bering Straits",2008,"dem",2695
"AK","State House District 4, Juneau-Mendenhall V",2008,"dem",4161
"AK","State House District 40, Arctic",2008,"dem",2137
"AK","State House District 5, Cordova-Southeast I",2008,"dem",3393
"AK","State House District 6, Interior Villages",2008,"dem",2351
"AK","State House District 7, Farmers Loop-Steese",2008,"dem",4283
"AK","State House District 8, Denali-University",2008,"dem",4995
"AK","State House District 9, City of Fairbanks",2008,"dem",2805
"AL","Autauga County",2008,"dem",6093
"AL","Baldwin County",2008,"dem",19386
"AL","Barbour County",2008,"dem",5697
"AL","Bibb County",2008,"dem",2299
"AL","Blount County",2008,"dem",3522
"AL","Bullock County",2008,"dem",4011
"AL","Butler County",2008,"dem",4188
"AL","Calhoun County",2008,"dem",16334
"AL","Chambers County",2008,"dem",6799
"AL","Cherokee County",2008,"dem",2306
"AL","Chilton County",2008,"dem",3674
"AL","Choctaw County",2008,"dem",3636
"AL","Clarke County",2008,"dem",5914
"AL","Clay County",2008,"dem",1760
"AL","Cleburne County",2008,"dem",1168
