"state","county","party","votes"
"AK","State House District 1, Ketchikan","dem",3662
"AK","State House District 10, Fairbanks-Fort Wai","dem",3670
"AK","State House District 11, North Pole","dem",3364
"AK","State House District 12, Richardson-Glenn H","dem",3387
"AK","State House District 13, Greater Palmer","dem",4819
"AK","State House District 14, Greater Wasilla","dem",4403
"AK","State House District 15, Rural Mat-Su","dem",4766
"AK","State House District 16, Chugiak-South Mat-","dem",4791
"AK","State House District 17, Eagle River","dem",4646
"AK","State House District 18, Military","dem",4193
"AK","State House District 19, Muldoon","dem",5061
"AK","State House District 2, Sitka-Wrangell-Pete","dem",4961
"AK","State House District 20, Mountain View-Wond","dem",4465
"AK","State House District 21, Baxter Bog","dem",5488
"AK","State House District 22, University-Airport","dem",5426
"AK","State House District 23, Downtown-Rogers Pa","dem",5991
"AK","State House District 24, Midtown-Taku","dem",5226
"AK","State House District 25, East Spenard","dem",5435
"AK","State House District 26, Turnagain-Inlet Vi","dem",6476
"AK","State House District 27, Sand Lake","dem",5212
"AK","State House District 28, Bayshore-Klatt","dem",5141
"AK","State House District 29, Campbell-Independe","dem",4546
"AK","State House District 3, Juneau-Downtown-Dou","dem",6513
"AK","State House District 30, Lore-Abbott","dem",5181
"AK","State House District 31, Huffman-Ocean View","dem",5315
"AK","State House District 32, Chugach State Park","dem",6580
"AK","State House District 33, Kenai-Soldotna","dem",3192
"AK","State House District 34, Rural Kenai","dem",3033
"AK","State House District 35, Homer-Seward","dem",5030
"AK","State House District 36, Kodiak","dem",3245
"AK","State House District 37, Bristol Bay-Aleuti","dem",5208
"AK","State House District 38, Bethel","dem",2366
"AK","State House District 39, Bering Straits","dem",2365
"AK","State House District 4, Juneau-Mendenhall V","dem",4768
"AK","State House District 40, Arctic","dem",2328
"AK","State House District 5, Cordova-Southeast I","dem",4679
"AK","State House District 6, Interior Villages","dem",3728
"AK","State House District 7, Farmers Loop-Steese","dem",5008
"AK","State House District 8, Denali-University","dem",5758
"AK","State House District 9, City of Fairbanks","dem",4177
"AL","Autauga County","dem",4758
"AL","Baldwin County","dem",15599
"AL","Barbour County","dem",4832
"AL","Bibb County","dem",2089
"AL","Blount County","dem",3938
"AL","Bullock County","dem",3210
"AL","Butler County","dem",3413
"AL","Calhoun County","dem",15083
"AL","Chambers County","dem",5347
"AL","Cherokee County","dem",3040
"AL","Chilton County","dem",3778
"AL","Choctaw County","dem",3303
"AL","Clarke County","dem",4627
"AL","Clay County","dem",1893
"AL","Cleburne County","dem",1391
"AL","Coffee County","dem",4480
"AL","Colbert County","dem",10598
"AL","Conecuh County","dem",2719
"AL","Coosa County","dem",2055
"AL","Covington County","dem",3423
"AL","Crenshaw County","dem",1698
"AL","Cullman County","dem",8045
"AL","Dale County","dem",4484
"AL","Dallas County","dem",11175
"AL","DeKalb County","dem",7092
"AL","Elmore County","dem",6471
"AL","Escambia County","dem",3814
"AL","Etowah County","dem",15328
"AL","Fayette County","dem",2408
"AL","Franklin County","dem",4514
"AL","Geneva County","dem",2113
"AL","Greene County","dem",3764
"AL","Hale County","dem",4631
"AL","Henry County","dem",2452
"AL","Houston County","dem",9144
"AL","Jackson County","dem",8635
"AL","Jefferson County","dem",132286
"AL","Lamar County","dem",1956
"AL","Lauderdale County","dem",14628
"AL","Lawrence County","dem",6155
"AL","Lee County","dem",16227
"AL","Limestone County","dem",9126
"AL","Lowndes County","dem",4233
"AL","Macon County","dem",7800
"AL","Madison County","dem",52644
"AL","Marengo County","dem",5037
"AL","Marion County","dem",3808
"AL","Marshall County","dem",8452
"AL","Mobile County","dem",63732
"AL","Monroe County","dem",3666
"AL","Montgomery County","dem",45160
"AL","Morgan County","dem",14131
"AL","Perry County","dem",3767
"AL","Pickens County","dem",3915
"AL","Pike County","dem",4334
"AL","Randolph County","dem",2817
"AL","Russell County","dem",8375
"AL","Saint Clair County","dem",5456
"AL","Shelby County","dem",14850
"AL","Sumter County","dem",4527
"AL","Talladega County","dem",11374
"AL","Tallapoosa County","dem",5451
"AL","Tuscaloosa County","dem",26447
"AL","Walker County","dem",9016
"AL","Washington County","dem",3145
"AL","Wilcox County","dem",3838
"AL","Winston County","dem",2236
"AR","Arkansas County","dem",3110
"AR","Ashley County","dem",3881
"AR","Baxter County","dem",7129
"AR","Benton County","dem",20756
"AR","Boone County","dem",4640
"AR","Bradley County","dem",2206
"AR","Calhoun County","dem",939
"AR","Carroll County","dem",4161
"AR","Chicot County","dem",2993
"AR","Clark County","dem",4990
"AR","Clay County","dem",3264
"AR","Cleburne County","dem",4517
"AR","Cleveland County","dem",1450
"AR","Columbia County","dem",4108
"AR","Conway County","dem",3982
"AR","Craighead County","dem",13665
"AR","Crawford County","dem",6764
"AR","Crittenden County","dem",8277
"AR","Cross County","dem",3135
"AR","Dallas County","dem",1671
"AR","Desha County","dem",2851
"AR","Drew County","dem",2952
"AR","Faulkner County","dem",14538
"AR","Franklin County","dem",3008
"AR","Fulton County","dem",2370
"AR","Garland County","dem",18040
"AR","Grant County","dem",2524
"AR","Greene County","dem",6564
"AR","Hempstead County","dem",3817
"AR","Hot Spring County","dem",5901
"AR","Howard County","dem",2166
"AR","Independence County","dem",5443
"AR","Izard County","dem",2586
"AR","Jackson County","dem",3515
"AR","Jefferson County","dem",19675
"AR","Johnson County","dem",3622
"AR","Lafayette County","dem",1567
"AR","Lawrence County","dem",3544
"AR","Lee County","dem",2548
"AR","Lincoln County","dem",2149
"AR","Little River County","dem",2677
"AR","Logan County","dem",3361
"AR","Lonoke County","dem",7454
"AR","Madison County","dem",2421
"AR","Marion County","dem",2602
"AR","Miller County","dem",6139
"AR","Mississippi County","dem",7593
"AR","Monroe County","dem",2049
"AR","Montgomery County","dem",1524
"AR","Nevada County","dem",1694
"AR","Newton County","dem",1506
"AR","Ouachita County","dem",5188
"AR","Perry County","dem",1921
"AR","Phillips County","dem",5642
"AR","Pike County","dem",1310
"AR","Poinsett County","dem",4069
"AR","Polk County","dem",2473
"AR","Pope County","dem",7100
"AR","Prairie County","dem",1562
"AR","Pulaski County","dem",84532
"AR","Randolph County","dem",3412
"AR","Saint Francis County","dem",5684
"AR","Saline County","dem",14153
"AR","Scott County","dem",1473
"AR","Searcy County","dem",1370
"AR","Sebastian County","dem",16479
"AR","Sevier County","dem",2035
"AR","Sharp County","dem",3265
"AR","Stone County","dem",2255
"AR","Union County","dem",7071
"AR","Van Buren County","dem",3310
"AR","Washington County","dem",27597
"AR","White County","dem",9129
"AR","Woodruff County","dem",1972
"AR","Yell County","dem",2913
"AZ","Apache County","dem",15658
"AZ","Cochise County","dem",17514
"AZ","Coconino County","dem",29243
"AZ","Gila County","dem",8314
"AZ","Graham County","dem",3185
"AZ","Greenlee County","dem",1146
"AZ","La Paz County","dem",1849
"AZ","Maricopa County","dem",504849
"AZ","Mohave County","dem",20503
"AZ","Navajo County","dem",14815
"AZ","Pima County","dem",193128
"AZ","Pinal County","dem",27252
"AZ","Santa Cruz County","dem",6909
"AZ","Yavapai County","dem",33127
"AZ","Yuma County","dem",16032
"CA","Alameda County","dem",422585
"CA","Alpine County","dem",373
"CA","Amador County","dem",6541
"CA","Butte County","dem",42448
"CA","Calaveras County","dem",8286
"CA","Colusa County","dem",1947
"CA","Contra Costa County","dem",257254
"CA","Del Norte County","dem",3892
"CA","El Dorado County","dem",32242
"CA","Fresno County","dem",103154
"CA","Glenn County","dem",2995
"CA","Humboldt County","dem",37988
"CA","Imperial County","dem",17964
"CA","Inyo County","dem",3350
"CA","Kern County","dem",68603
"CA","Kings County","dem",10833
"CA","Lake County","dem",13141
"CA","Lassen County","dem",3158
"CA","Los Angeles County","dem",1907736
"CA","Madera County","dem",13481
"CA","Marin County","dem",99070
"CA","Mariposa County","dem",3251
"CA","Mendocino County","dem",24385
"CA","Merced County","dem",24491
"CA","Modoc County","dem",1149
"CA","Mono County","dem",2628
"CA","Monterey County","dem",75241
"CA","Napa County","dem",33666
"CA","Nevada County","dem",24220
"CA","Orange County","dem",419239
"CA","Placer County","dem",55573
"CA","Plumas County","dem",4129
"CA","Riverside County","dem",228806
"CA","Sacramento County","dem",236657
"CA","San Benito County","dem",9851
"CA","San Bernardino County","dem",227789
"CA","San Diego County","dem",526437
"CA","San Francisco County","dem",296772
"CA","San Joaquin County","dem",87012
"CA","San Luis Obispo County","dem",58742
"CA","San Mateo County","dem",197922
"CA","Santa Barbara County","dem",90314
"CA","Santa Clara County","dem",386100
"CA","Santa Cruz County","dem",89102
"CA","Shasta County","dem",24339
"CA","Sierra County","dem",646
"CA","Siskiyou County","dem",7880
"CA","Solano County","dem",85096
"CA","Sonoma County","dem",148261
"CA","Stanislaus County","dem",58829
"CA","Sutter County","dem",9602
"CA","Tehama County","dem",7504
"CA","Trinity County","dem",2782
"CA","Tulare County","dem",32494
"CA","Tuolumne County","dem",10104
"CA","Ventura County","dem",148859
"CA","Yolo County","dem",42885
"CA","Yuba County","dem",5687
"CO","Adams County","dem",69122
"CO","Alamosa County","dem",3017
"CO","Arapahoe County","dem",110262
"CO","Archuleta County","dem",2141
"CO","Baca County","dem",483
"CO","Bent County","dem",785
"CO","Boulder County","dem",105564
"CO","Broomfield County","dem",10935
"CO","Chaffee County","dem",3766
"CO","Cheyenne County","dem",198
"CO","Clear Creek County","dem",2989
"CO","Conejos County","dem",1894
"CO","Costilla County","dem",1170
"CO","Crowley County","dem",478
"CO","Custer County","dem",739
"CO","Delta County","dem",4224
"CO","Denver County","dem",166135
"CO","Dolores County","dem",333
"CO","Douglas County","dem",39661
"CO","Eagle County","dem",9744
"CO","El Paso County","dem",77648
"CO","Elbert County","dem",2834
"CO","Fremont County","dem",5933
"CO","Garfield County","dem",9228
"CO","Gilpin County","dem",1807
"CO","Grand County","dem",3243
"CO","Gunnison County","dem",4782
"CO","Hinsdale County","dem",236
"CO","Huerfano County","dem",1656
"CO","Jackson County","dem",210
"CO","Jefferson County","dem",126558
"CO","Kiowa County","dem",172
"CO","Kit Carson County","dem",729
"CO","La Plata County","dem",13409
"CO","Lake County","dem",1623
"CO","Larimer County","dem",68266
"CO","Las Animas County","dem",3300
"CO","Lincoln County","dem",503
"CO","Logan County","dem",2491
"CO","Mesa County","dem",19564
"CO","Mineral County","dem",227
"CO","Moffat County","dem",1335
"CO","Montezuma County","dem",3867
"CO","Montrose County","dem",4776
"CO","Morgan County","dem",3039
"CO","Otero County","dem",3164
"CO","Ouray County","dem",1278
"CO","Park County","dem",3445
"CO","Phillips County","dem",582
"CO","Pitkin County","dem",6335
"CO","Prowers County","dem",1308
"CO","Pueblo County","dem",35369
"CO","Rio Blanco County","dem",566
"CO","Rio Grande County","dem",2006
"CO","Routt County","dem",6392
"CO","Saguache County","dem",1594
"CO","San Juan County","dem",253
"CO","San Miguel County","dem",2876
"CO","Sedgwick County","dem",374
"CO","Summit County","dem",8144
"CO","Teller County","dem",3556
"CO","Washington County","dem",455
"CO","Weld County","dem",31868
"CO","Yuma County","dem",1064
"CT","Fairfield County","dem",205902
"CT","Hartford County","dem",229902
"CT","Litchfield County","dem",44647
"CT","Middlesex County","dem",47292
"CT","New Haven County","dem",199060
"CT","New London County","dem",66062
"CT","Tolland County","dem",39146
"CT","Windham County","dem",25477
"DC","District of Columbia","dem",202970
"DE","Kent County","dem",23875
"DE","New Castle County","dem",146179
"DE","Sussex County","dem",30098
"FL","Alachua County","dem",62504
"FL","Baker County","dem",2180
"FL","Bay County","dem",21068
"FL","Bradford County","dem",3224
"FL","Brevard County","dem",110309
"FL","Broward County","dem",453873
"FL","Calhoun County","dem",2116
"FL","Charlotte County","dem",34256
"FL","Citrus County","dem",29277
"FL","Clay County","dem",18971
"FL","Collier County","dem",43892
"FL","Columbia County","dem",8031
"FL","DeSoto County","dem",3913
"FL","Dixie County","dem",1960
"FL","Duval County","dem",158610
"FL","Escambia County","dem",48329
"FL","Flagler County","dem",18578
"FL","Franklin County","dem",2401
"FL","Gadsden County","dem",14629
"FL","Gilchrist County","dem",2017
"FL","Glades County","dem",1718
"FL","Gulf County","dem",2407
"FL","Hamilton County","dem",2260
"FL","Hardee County","dem",2149
"FL","Hendry County","dem",3960
"FL","Hernando County","dem",37187
"FL","Highlands County","dem",15347
"FL","Hillsborough County","dem",214132
"FL","Holmes County","dem",1810
"FL","Indian River County","dem",23956
"FL","Jackson County","dem",7555
"FL","Jefferson County","dem",4135
"FL","Lafayette County","dem",845
"FL","Lake County","dem",48221
"FL","Lee County","dem",93860
"FL","Leon County","dem",83873
"FL","Levy County","dem",6074
"FL","Liberty County","dem",1070
"FL","Madison County","dem",4050
"FL","Manatee County","dem",61262
"FL","Marion County","dem",57271
"FL","Martin County","dem",30208
"FL","Miami-Dade County","dem",409732
"FL","Monroe County","dem",19654
"FL","Nassau County","dem",8573
"FL","Okaloosa County","dem",19368
"FL","Okeechobee County","dem",5153
"FL","Orange County","dem",193354
"FL","Osceola County","dem",38633
"FL","Palm Beach County","dem",328687
"FL","Pasco County","dem",84749
"FL","Pinellas County","dem",225460
"FL","Polk County","dem",86009
"FL","Putnam County","dem",12412
"FL","Saint Johns County","dem",26399
"FL","Saint Lucie County","dem",51835
"FL","Santa Rosa County","dem",14659
"FL","Sarasota County","dem",88442
"FL","Seminole County","dem",76971
"FL","Sumter County","dem",11584
"FL","Suwannee County","dem",4522
"FL","Taylor County","dem",3049
"FL","Union County","dem",1251
"FL","Volusia County","dem",115519
"FL","Wakulla County","dem",4896
"FL","Walton County","dem",6213
"FL","Washington County","dem",2912
"GA","Appling County","dem",1848
"GA","Atkinson County","dem",799
"GA","Bacon County","dem",930
"GA","Baker County","dem",936
"GA","Baldwin County","dem",6775
"GA","Banks County","dem",1149
"GA","Barrow County","dem",4095
"GA","Bartow County","dem",7741
"GA","Ben Hill County","dem",2180
"GA","Berrien County","dem",1638
"GA","Bibb County","dem",29322
"GA","Bleckley County","dem",1281
"GA","Brantley County","dem",1258
"GA","Brooks County","dem",2193
"GA","Bryan County","dem",2590
"GA","Bulloch County","dem",6840
"GA","Burke County","dem",4213
"GA","Butts County","dem",2572
"GA","Calhoun County","dem",1119
"GA","Camden County","dem",4637
"GA","Candler County","dem",1096
"GA","Carroll County","dem",10224
"GA","Catoosa County","dem",5807
"GA","Charlton County","dem",1064
"GA","Chatham County","dem",45630
"GA","Chattahoochee County","dem",773
"GA","Chattooga County","dem",2809
"GA","Cherokee County","dem",14824
"GA","Clarke County","dem",21718
"GA","Clay County","dem",798
"GA","Clayton County","dem",56113
"GA","Clinch County","dem",750
"GA","Cobb County","dem",103955
"GA","Coffee County","dem",3979
"GA","Colquitt County","dem",3378
"GA","Columbia County","dem",11442
"GA","Cook County","dem",1733
"GA","Coweta County","dem",10647
"GA","Crawford County","dem",1552
"GA","Crisp County","dem",2357
"GA","Dade County","dem",1823
"GA","Dawson County","dem",1407
"GA","Decatur County","dem",3577
"GA","DeKalb County","dem",200787
"GA","Dodge County","dem",2384
"GA","Dooly County","dem",1973
"GA","Dougherty County","dem",19805
"GA","Douglas County","dem",15997
"GA","Early County","dem",1701
"GA","Echols County","dem",231
"GA","Effingham County","dem",3613
"GA","Elbert County","dem",2984
"GA","Emanuel County","dem",2774
"GA","Evans County","dem",1213
"GA","Fannin County","dem",2727
"GA","Fayette County","dem",14887
"GA","Floyd County","dem",10038
"GA","Forsyth County","dem",9201
"GA","Franklin County","dem",2245
"GA","Fulton County","dem",199436
"GA","Gilmer County","dem",2510
"GA","Glascock County","dem",250
"GA","Glynn County","dem",8962
"GA","Gordon County","dem",4028
"GA","Grady County","dem",3092
"GA","Greene County","dem",2774
"GA","Gwinnett County","dem",81708
"GA","Habersham County","dem",2750
"GA","Hall County","dem",10514
"GA","Hancock County","dem",2715
"GA","Haralson County","dem",2434
"GA","Harris County","dem",3400
"GA","Hart County","dem",3479
"GA","Heard County","dem",1148
"GA","Henry County","dem",21096
"GA","Houston County","dem",15054
"GA","Irwin County","dem",1051
"GA","Jackson County","dem",3468
"GA","Jasper County","dem",1558
"GA","Jeff Davis County","dem",1277
"GA","Jefferson County","dem",3447
"GA","Jenkins County","dem",1494
"GA","Johnson County","dem",1263
"GA","Jones County","dem",3855
"GA","Lamar County","dem",2432
"GA","Lanier County","dem",931
"GA","Laurens County","dem",6281
"GA","Lee County","dem",2182
"GA","Liberty County","dem",6619
"GA","Lincoln County","dem",1337
"GA","Long County","dem",1033
"GA","Lowndes County","dem",12516
"GA","Lumpkin County","dem",2091
"GA","Macon County","dem",2906
"GA","Madison County","dem",2527
"GA","Marion County","dem",1275
"GA","McDuffie County","dem",2899
"GA","McIntosh County","dem",2523
"GA","Meriwether County","dem",3709
"GA","Miller County","dem",736
"GA","Mitchell County","dem",3360
"GA","Monroe County","dem",3216
"GA","Montgomery County","dem",1007
"GA","Morgan County","dem",2304
"GA","Murray County","dem",2899
"GA","Muscogee County","dem",32867
"GA","Newton County","dem",10939
"GA","Oconee County","dem",3789
"GA","Oglethorpe County","dem",1899
"GA","Paulding County","dem",9420
"GA","Peach County","dem",3961
"GA","Pickens County","dem",2444
"GA","Pierce County","dem",1234
"GA","Pike County","dem",1506
"GA","Polk County","dem",3868
"GA","Pulaski County","dem",1294
"GA","Putnam County","dem",2880
"GA","Quitman County","dem",543
"GA","Rabun County","dem",1918
"GA","Randolph County","dem",1612
"GA","Richmond County","dem",39268
"GA","Rockdale County","dem",12136
"GA","Schley County","dem",464
"GA","Screven County","dem",2534
"GA","Seminole County","dem",1278
"GA","Spalding County","dem",7460
"GA","Stephens County","dem",2714
"GA","Stewart County","dem",1220
"GA","Sumter County","dem",5562
"GA","Talbot County","dem",1830
"GA","Taliaferro County","dem",612
"GA","Tattnall County","dem",1787
"GA","Taylor County","dem",1458
"GA","Telfair County","dem",1590
"GA","Terrell County","dem",1951
"GA","Thomas County","dem",5997
"GA","Tift County","dem",3864
"GA","Toombs County","dem",2567
"GA","Towns County","dem",1430
"GA","Treutlen County","dem",1052
"GA","Troup County","dem",7630
"GA","Turner County","dem",1135
"GA","Twiggs County","dem",2220
"GA","Union County","dem",2327
"GA","Upson County","dem",3424
"GA","Walker County","dem",5987
"GA","Walton County","dem",5887
"GA","Ware County","dem",3448
"GA","Warren County","dem",1360
"GA","Washington County","dem",3733
"GA","Wayne County","dem",2683
"GA","Webster County","dem",515
"GA","Wheeler County","dem",847
"GA","White County","dem",2016
"GA","Whitfield County","dem",6933
"GA","Wilcox County","dem",902
"GA","Wilkes County","dem",2028
"GA","Wilkinson County","dem",2235
"GA","Worth County","dem",2219
"HI","Hawaii County","dem",35116
"HI","Honolulu County","dem",152500
"HI","Kauai County","dem",14916
"HI","Maui County","dem",28803
"IA","Adair County","dem",1844
"IA","Adams County","dem",977
"IA","Allamakee County","dem",3449
"IA","Appanoose County","dem",3063
"IA","Audubon County","dem",1608
"IA","Benton County","dem",6747
"IA","Black Hawk County","dem",35392
"IA","Boone County","dem",7027
"IA","Bremer County","dem",6025
"IA","Buchanan County","dem",5608
"IA","Buena Vista County","dem",3520
"IA","Butler County","dem",3001
"IA","Calhoun County","dem",2243
"IA","Carroll County","dem",4689
"IA","Cass County","dem",2679
"IA","Cedar County","dem",4747
"IA","Cerro Gordo County","dem",13372
"IA","Cherokee County","dem",2988
"IA","Chickasaw County","dem",3708
"IA","Clarke County","dem",2323
"IA","Clay County","dem",3547
"IA","Clayton County","dem",4736
"IA","Clinton County","dem",13813
"IA","Crawford County","dem",3220
"IA","Dallas County","dem",10917
"IA","Davis County","dem",1731
"IA","Decatur County","dem",1859
"IA","Delaware County","dem",4227
"IA","Des Moines County","dem",12456
"IA","Dickinson County","dem",4140
"IA","Dubuque County","dem",26561
"IA","Emmet County","dem",2405
"IA","Fayette County","dem",5185
"IA","Floyd County","dem",4349
"IA","Franklin County","dem",2340
"IA","Fremont County","dem",1510
"IA","Greene County","dem",2459
"IA","Grundy County","dem",2386
"IA","Guthrie County","dem",2614
"IA","Hamilton County","dem",3895
"IA","Hancock County","dem",2484
"IA","Hardin County","dem",4015
"IA","Harrison County","dem",2906
"IA","Henry County","dem",4127
"IA","Howard County","dem",2614
"IA","Humboldt County","dem",2146
"IA","Ida County","dem",1415
"IA","Iowa County","dem",3841
"IA","Jackson County","dem",5656
"IA","Jasper County","dem",10430
"IA","Jefferson County","dem",4490
"IA","Johnson County","dem",41847
"IA","Jones County","dem",5054
"IA","Keokuk County","dem",2294
"IA","Kossuth County","dem",4132
"IA","Lee County","dem",10152
"IA","Linn County","dem",60442
"IA","Louisa County","dem",2297
"IA","Lucas County","dem",1987
"IA","Lyon County","dem",1303
"IA","Madison County","dem",3380
"IA","Mahaska County","dem",3790
"IA","Marion County","dem",6574
"IA","Marshall County","dem",9443
"IA","Mills County","dem",2308
"IA","Mitchell County","dem",2785
"IA","Monona County","dem",2397
"IA","Monroe County","dem",1855
"IA","Montgomery County","dem",1899
"IA","Muscatine County","dem",9542
"IA","O'Brien County","dem",2330
"IA","Osceola County","dem",934
"IA","Page County","dem",2211
"IA","Palo Alto County","dem",2482
"IA","Plymouth County","dem",4278
"IA","Pocahontas County","dem",1822
"IA","Polk County","dem",105218
"IA","Pottawattamie County","dem",16906
"IA","Poweshiek County","dem",5043
"IA","Ringgold County","dem",1286
"IA","Sac County","dem",2215
"IA","Scott County","dem",42112
"IA","Shelby County","dem",2355
"IA","Sioux County","dem",2259
"IA","Story County","dem",23296
"IA","Tama County","dem",4487
"IA","Taylor County","dem",1252
"IA","Union County","dem",2747
"IA","Van Buren County","dem",1568
"IA","Wapello County","dem",9125
"IA","Warren County","dem",10730
"IA","Washington County","dem",4595
"IA","Wayne County","dem",1379
"IA","Webster County","dem",9561
"IA","Winnebago County","dem",2707
"IA","Winneshiek County","dem",5354
"IA","Woodbury County","dem",21455
"IA","Worth County","dem",2286
"IA","Wright County","dem",2930
"ID","Ada County","dem",58523
"ID","Adams County","dem",555
"ID","Bannock County","dem",12903
"ID","Bear Lake County","dem",494
"ID","Benewah County","dem",1148
"ID","Bingham County","dem",3605
"ID","Blaine County","dem",5992
"ID","Boise County","dem",970
"ID","Bonner County","dem",6649
"ID","Bonneville County","dem",8356
"ID","Boundary County","dem",1268
"ID","Butte County","dem",321
"ID","Camas County","dem",139
"ID","Canyon County","dem",13415
"ID","Caribou County","dem",491
"ID","Cassia County","dem",1153
"ID","Clark County","dem",46
"ID","Clearwater County","dem",1117
"ID","Custer County","dem",559
"ID","Elmore County","dem",1959
"ID","Franklin County","dem",456
"ID","Fremont County","dem",741
"ID","Gem County","dem",1628
"ID","Gooding County","dem",1278
"ID","Idaho County","dem",1689
"ID","Jefferson County","dem",1084
"ID","Jerome County","dem",1344
"ID","Kootenai County","dem",17584
"ID","Latah County","dem",8430
"ID","Lemhi County","dem",915
"ID","Lewis County","dem",440
"ID","Lincoln County","dem",466
"ID","Madison County","dem",826
"ID","Minidoka County","dem",1331
"ID","Nez Perce County","dem",6476
"ID","Oneida County","dem",304
"ID","Owyhee County","dem",685
"ID","Payette County","dem",1848
"ID","Power County","dem",829
"ID","Shoshone County","dem",2331
"ID","Teton County","dem",1416
"ID","Twin Falls County","dem",6458
"ID","Valley County","dem",1843
"ID","Washington County","dem",1033
"IL","Adams County","dem",10511
"IL","Alexander County","dem",2016
"IL","Bond County","dem",3228
"IL","Boone County","dem",8286
"IL","Brown County","dem",895
"IL","Bureau County","dem",7961
"IL","Calhoun County","dem",1367
"IL","Carroll County","dem",3537
"IL","Cass County","dem",2492
"IL","Champaign County","dem",41524
"IL","Christian County","dem",6112
"IL","Clark County","dem",2877
"IL","Clay County","dem",2101
"IL","Clinton County","dem",6797
"IL","Coles County","dem",9566
"IL","Cook County","dem",1439724
"IL","Crawford County","dem",3194
"IL","Cumberland County","dem",1862
"IL","De Witt County","dem",2836
"IL","DeKalb County","dem",19263
"IL","Douglas County","dem",2767
"IL","DuPage County","dem",180097
"IL","Edgar County","dem",3093
"IL","Edwards County","dem",930
"IL","Effingham County","dem",4388
"IL","Fayette County","dem",3571
"IL","Ford County","dem",1912
"IL","Franklin County","dem",8816
"IL","Fulton County","dem",9080
"IL","Gallatin County","dem",1573
"IL","Greene County","dem",2457
"IL","Grundy County","dem",8463
"IL","Hamilton County","dem",1814
"IL","Hancock County","dem",3975
"IL","Hardin County","dem",923
"IL","Henderson County","dem",2269
"IL","Henry County","dem",11877
"IL","Iroquois County","dem",3832
"IL","Jackson County","dem",14300
"IL","Jasper County","dem",1781
"IL","Jefferson County","dem",6713
"IL","Jersey County","dem",4597
"IL","Jo Daviess County","dem",5311
"IL","Johnson County","dem",1813
"IL","Kane County","dem",73813
"IL","Kankakee County","dem",20003
"IL","Kendall County","dem",12497
"IL","Knox County","dem",13403
"IL","La Salle County","dem",24263
"IL","Lake County","dem",134352
"IL","Lawrence County","dem",2518
"IL","Lee County","dem",6416
"IL","Livingston County","dem",5632
"IL","Logan County","dem",4273
"IL","Macon County","dem",23341
"IL","Macoupin County","dem",11193
"IL","Madison County","dem",63399
"IL","Marion County","dem",7694
"IL","Marshall County","dem",2806
"IL","Mason County","dem",3215
"IL","Massac County","dem",2805
"IL","McDonough County","dem",7119
"IL","McHenry County","dem",50330
"IL","McLean County","dem",29877
"IL","Menard County","dem",2137
"IL","Mercer County","dem",4512
"IL","Monroe County","dem",6788
"IL","Montgomery County","dem",5979
"IL","Morgan County","dem",5650
"IL","Moultrie County","dem",2388
"IL","Ogle County","dem",9018
"IL","Peoria County","dem",41121
"IL","Perry County","dem",4770
"IL","Piatt County","dem",3124
"IL","Pike County","dem",2849
"IL","Pope County","dem",918
"IL","Pulaski County","dem",1372
"IL","Putnam County","dem",1704
"IL","Randolph County","dem",6771
"IL","Richland County","dem",2529
"IL","Rock Island County","dem",39880
"IL","Saint Clair County","dem",62410
"IL","Saline County","dem",4697
"IL","Sangamon County","dem",38630
"IL","Schuyler County","dem",1594
"IL","Scott County","dem",927
"IL","Shelby County","dem",3744
"IL","Stark County","dem",1189
"IL","Stephenson County","dem",8913
"IL","Tazewell County","dem",25814
"IL","Union County","dem",3735
"IL","Vermilion County","dem",14726
"IL","Wabash County","dem",1752
"IL","Warren County","dem",3938
"IL","Washington County","dem",2986
"IL","Wayne County","dem",2139
"IL","White County","dem",3071
"IL","Whiteside County","dem",13723
"IL","Will County","dem",117172
"IL","Williamson County","dem",11685
"IL","Winnebago County","dem",59740
"IL","Woodford County","dem",6005
"IN","Adams County","dem",3512
"IN","Allen County","dem",46710
"IN","Bartholomew County","dem",9191
"IN","Benton County","dem",1135
"IN","Blackford County","dem",1903
"IN","Boone County","dem",5636
"IN","Brown County","dem",2730
"IN","Carroll County","dem",2689
"IN","Cass County","dem",4315
"IN","Clark County","dem",17648
"IN","Clay County","dem",3333
"IN","Clinton County","dem",3335
"IN","Crawford County","dem",1932
"IN","Daviess County","dem",2573
"IN","Dearborn County","dem",6596
"IN","Decatur County","dem",2621
"IN","DeKalb County","dem",4810
"IN","Delaware County","dem",20436
"IN","Dubois County","dem",5210
"IN","Elkhart County","dem",17966
"IN","Fayette County","dem",3626
"IN","Floyd County","dem",13857
"IN","Fountain County","dem",2477
"IN","Franklin County","dem",2925
"IN","Fulton County","dem",2607
"IN","Gibson County","dem",5378
"IN","Grant County","dem",8509
"IN","Greene County","dem",4606
"IN","Hamilton County","dem",26388
"IN","Hancock County","dem",6912
"IN","Harrison County","dem",6171
"IN","Hendricks County","dem",13548
"IN","Henry County","dem",7176
"IN","Howard County","dem",12998
"IN","Huntington County","dem",3877
"IN","Jackson County","dem",5092
"IN","Jasper County","dem",3678
"IN","Jay County","dem",2740
"IN","Jefferson County","dem",5117
"IN","Jennings County","dem",3538
"IN","Johnson County","dem",13109
"IN","Knox County","dem",5649
"IN","Kosciusko County","dem",5977
"IN","LaGrange County","dem",2523
"IN","Lake County","dem",114743
"IN","LaPorte County","dem",21114
