STATE,COUNTY,BUSH,GORE,NADER,BUCHANAN,BROWNE,PHILLIPS,WRITEINS,HAGELIN,MCREYNOLDS,HARRIS,DODGE,NOTA,MOOREHEAD,BROWN,VENSON,YOUNGKEIT,LANE,OTHER
"Alabama","Tuscaloosa",34003,24614,1007,193,251,28,0,18,0,0,0,0,0,0,0,0,0,1497
"Alabama","Walker",13486,11621,264,177,70,8,10,5,0,0,0,0,0,0,0,0,0,534
"Alabama","Washington",4117,3386,26,39,22,3,1,2,0,0,0,0,0,0,0,0,0,93
"Alabama","Wilcox",1661,3444,6,4,4,2,5,0,0,0,0,0,0,0,0,0,0,21
"Alabama","Winston",6413,2692,88,91,22,5,5,2,0,0,0,0,0,0,0,0,0,213
"Alaska","District 1",4681,1284,475,81,70,28,28,9,0,0,0,0,0,0,0,0,0,691
"Alaska","District 2",4235,2081,846,88,65,25,23,25,0,0,0,0,0,0,0,0,0,1072
"Alaska","District 3",3135,3693,1161,89,73,26,42,6,0,0,0,0,0,0,0,0,0,1397
"Alaska","District 4",4127,2715,768,69,57,36,35,16,0,0,0,0,0,0,0,0,0,981
"Alaska","District 5",3545,1931,751,67,62,30,32,19,0,0,0,0,0,0,0,0,0,961
"Alaska","District 6",3862,1542,494,77,62,24,22,17,0,0,0,0,0,0,0,0,0,696
"Alaska","District 7",4868,1893,1563,147,116,27,40,23,0,0,0,0,0,0,0,0,0,1916
"Alaska","District 8",5371,1498,809,165,72,28,19,16,0,0,0,0,0,0,0,0,0,1109
"Alaska","District 9",4789,1203,478,187,90,19,19,15,0,0,0,0,0,0,0,0,0,808
"Alaska","District 10",5673,2194,803,123,39,22,14,16,0,0,0,0,0,0,0,0,0,1017
"Alaska","District 11",3960,2043,743,128,61,26,11,8,0,0,0,0,0,0,0,0,0,977
"Alaska","District 12",4626,2051,691,125,58,25,20,5,0,0,0,0,0,0,0,0,0,924
"Alaska","District 13",3853,2661,1230,93,64,33,22,17,0,0,0,0,0,0,0,0,0,1459
"Alaska","District 14",3750,1626,342,73,33,19,13,12,0,0,0,0,0,0,0,0,0,492
"Alaska","District 15",2453,2106,1068,100,81,30,23,9,0,0,0,0,0,0,0,0,0,1311
"Alaska","District 16",1980,1969,530,113,43,31,10,9,0,0,0,0,0,0,0,0,0,736
"Alaska","District 17",4564,2230,641,138,67,25,28,11,0,0,0,0,0,0,0,0,0,910
"Alaska","District 18",5421,2739,1484,113,58,31,29,7,0,0,0,0,0,0,0,0,0,1722
"Alaska","District 19",4619,2350,728,136,61,25,15,17,0,0,0,0,0,0,0,0,0,982
"Alaska","District 20",3648,2259,839,113,52,24,18,10,0,0,0,0,0,0,0,0,0,1056
